Date,Temperature (¡æ),Humidity (%),Rainfall (mm),Wind Speed (km/h),Soil Type,Soil Moisture (%)
2011/7/2,19.59,60.05,0.87,19.45,Sandy,41.69
2011/7/3,25.03,32.54,3.5,16.82,Clay,42.15
2011/7/4,25.15,47.61,6.93,9.56,Loam,36.53
2011/7/5,17.44,34.7,13.77,18.21,Clay,27.61
2011/7/6,27.02,67,8.1,13.32,Clay,38.37
2011/7/7,34.8,63.98,1.66,4.86,Sandy,29.75
2011/7/8,30.73,66.65,2.34,19.98,Loam,26.36
2011/7/9,17.5,53.14,13.84,3.69,Clay,28.71
2011/7/10,18.32,60.74,2.89,8.03,Clay,28.71
2011/7/11,24.63,70.88,3.71,18.66,Loam,27.91
2011/7/12,18.13,35.71,15.24,9.86,Clay,26.53
2011/7/13,29.29,74.82,5.57,8.8,Clay,33.47
2011/7/14,24.21,58.72,3.82,9.15,Loam,35.35
2011/7/15,27.57,48.07,11.22,18.51,Loam,36.86
2011/7/16,29.35,50.46,15.31,8.9,Sandy,38.76
2011/7/17,34.15,81.7,10.07,9.65,Clay,39.53
2011/7/18,31.84,56.54,2.35,12.08,Loam,33.25
2011/7/19,20.3,65.13,15.4,16.14,Loam,43.89
2011/7/20,22.63,53.61,4.18,16.38,Clay,36.14
2011/7/21,30.09,58.05,5.73,6.13,Clay,31.79
2011/7/22,24.47,50.85,5.09,6.6,Clay,26.66
2011/7/23,32.47,33.11,2.54,19.77,Sandy,41.1
2011/7/24,19.54,40.39,4.97,13.06,Sandy,41.5
2011/7/25,24.81,83.81,2.98,12.75,Sandy,25.54
2011/7/26,18.9,76.09,0.98,14.18,Sandy,28.04
2011/7/27,16.17,39.01,19.04,17.29,Sandy,41.72
2011/7/28,19.01,61.14,2.55,8.13,Loam,32.6
2011/7/29,29.23,36.34,14.48,4.28,Clay,36.58
2011/7/30,19.38,65.92,18.77,14.49,Sandy,26.54
2011/7/31,20.84,82.26,10.96,16.21,Sandy,34.77
2011/8/1,18.08,75.63,14.54,15.86,Sandy,30.81
2011/8/2,23.37,83.65,12.42,16.83,Clay,44.7
2011/8/3,32.37,32.46,18.81,8.53,Loam,30.97
2011/8/4,20.15,71.49,5.2,16.21,Clay,28.61
2011/8/5,15.68,53.37,2.33,3.44,Loam,41.82
2011/8/6,32.36,66.36,10.49,9.34,Sandy,26.7
2011/8/7,23.64,60.68,18.96,16.47,Sandy,42.08
2011/8/8,28.71,50.31,2.63,19.69,Clay,35.08
2011/8/9,30.18,70.41,13.17,17.86,Sandy,39.98
2011/8/10,24.59,72.99,7.29,11.62,Clay,27.92
2011/8/11,18.75,37.27,9.63,19.29,Clay,43.26
2011/8/12,21.21,51.08,19.13,8.23,Loam,33.72
2011/8/13,28.61,88.2,15.71,18.23,Clay,43.65
2011/8/14,30.52,31.02,5.15,11.1,Sandy,40.4
2011/8/15,30.34,89.52,13.49,13.36,Clay,43.5
2011/8/16,27.53,77.43,6.6,4.37,Sandy,43.51
2011/8/17,33.85,58.02,14.86,12.63,Loam,33.28
2011/8/18,19.76,85.32,19.94,14.12,Loam,26.92
2011/8/19,30.56,75.1,2.93,16.29,Clay,27.64
2011/8/20,29.46,76.4,12.51,7.16,Clay,39.09
2011/8/21,24.21,83.19,5.44,14.88,Clay,30.07
2011/8/22,20.58,79.95,14.52,5.3,Clay,29.68
2011/8/23,33.48,37.16,8.99,9.04,Clay,25.97
2011/8/24,28.12,34.3,18.16,10.87,Clay,38.87
2011/8/25,20.68,57.64,16.52,12.85,Clay,27.44
2011/8/26,29.52,69.13,15.02,8.79,Sandy,41.3
2011/8/27,31.75,52.32,9.06,13.4,Loam,37.19
2011/8/28,17.01,73.44,18.54,19.11,Loam,42.35
2011/8/29,15.88,69.35,14.28,11.05,Loam,27.08
2011/8/30,19.19,74.32,9.17,17.62,Sandy,33.29
2011/8/31,16.64,42.37,14.33,13.42,Clay,25.04
2011/9/1,34.57,82.35,15.43,12.13,Loam,28.28
2011/9/2,28.21,87.76,4.98,17.16,Sandy,32.78
2011/9/3,17.52,39.66,10.02,4.56,Clay,25.11
2011/9/4,19.15,84.61,4.02,4.81,Loam,30.23
2011/9/5,24.17,55.94,11.9,4.76,Clay,37.14
2011/9/6,16.65,74.56,18.67,13.34,Clay,35.86
2011/9/7,17.69,58.69,8.04,14.35,Clay,35.13
2011/9/8,24.6,58.42,6.84,11.7,Clay,27.44
2011/9/9,19.29,64.44,16.75,15.63,Loam,42.68
2011/9/10,15.52,76.84,4.9,19.38,Sandy,38.31
2011/9/11,28.22,75.23,1.8,19.62,Clay,34.99
2011/9/12,25.98,70.01,3.71,12.14,Sandy,42.11
2011/9/13,22.38,74.79,1.71,6.53,Clay,38.77
2011/9/14,22.74,40.46,0.28,13.31,Loam,39.81
2011/9/15,23.91,81.63,17.76,9.92,Sandy,44.26
2011/9/16,15.07,85.82,17.55,8.89,Loam,27.23
2011/9/17,21.04,70.51,10.64,6.51,Sandy,38.31
2011/9/18,20.15,37.56,10.14,15.39,Clay,34.98
2011/9/19,17.85,35.17,0.01,8.17,Loam,31.66
2011/9/20,32,64.66,16.06,18.21,Clay,34.21
2011/9/21,21.55,55.17,7.09,11.31,Sandy,37.34
2011/9/22,24.86,66.14,15.96,12.6,Sandy,40.79
2011/9/23,27.62,68.37,17.81,11,Sandy,33.13
2011/9/24,16.93,30.77,17.63,19.27,Clay,40.86
2011/9/25,25.65,80.57,10.87,7.57,Sandy,27.62
2011/9/26,16.04,66.64,17.46,10.81,Loam,42.69
2011/9/27,28.31,62.53,2.83,13.52,Loam,27.52
2011/9/28,21.32,57.17,2.02,9.24,Clay,43.01
2011/9/29,34.12,52.16,11.43,15.47,Clay,37.41
2011/9/30,32.45,32.13,18.13,13.35,Loam,34.4
2011/10/1,24.01,70.91,17.36,19.03,Sandy,43.91
2011/10/2,30.9,82.49,10.63,12.73,Clay,28.61
2011/10/3,17.53,78.85,10.9,18.66,Sandy,38.09
2011/10/4,27.29,81.24,13.91,14.46,Sandy,37.69
2011/10/5,15.89,68.44,3.72,19.29,Sandy,39.43
2011/10/6,25.38,65.39,4.74,17.87,Sandy,28.47
2011/10/7,22.96,52.18,16.31,15.27,Sandy,42.05
2011/10/8,16.24,58.8,5.07,15.97,Sandy,42.33
2011/10/9,33.13,49.06,3.85,14.02,Sandy,36.55
2011/10/10,30.11,67.67,11.04,18.17,Sandy,44.56
2011/10/11,20.82,30.78,8.09,16.02,Clay,40.28
2011/10/12,28.22,30.91,11.18,13.68,Clay,35.85
2011/10/13,30.38,74.71,8.06,15.43,Loam,40.98
2011/10/14,28.98,88.15,9.01,6.11,Clay,27.26
2011/10/15,25.94,82.32,13.64,14.44,Loam,26.65
2011/10/16,16.43,52.48,8.53,7.95,Clay,29.37
2011/10/17,32.18,75.51,18.39,16.3,Clay,25.86
2011/10/18,29.93,47.31,7.66,3.92,Clay,31.02
2011/10/19,34.56,60.17,18.26,9,Clay,31.79
2011/10/20,34.83,65.05,1.06,3.79,Clay,32.86
2011/10/21,30.58,61.07,3.06,4.37,Loam,30.01
2011/10/22,21.42,34.05,6.96,5.02,Sandy,27.27
2011/10/23,24.36,41.01,7.1,7.7,Loam,28.42
2011/10/24,21.72,66.76,18.02,10.25,Loam,32.6
2011/10/25,27.1,81.02,7.48,13.41,Clay,38.99
2011/10/26,16.42,76.73,8.22,9.67,Loam,37.02
2011/10/27,24.79,31.23,10.37,7.48,Sandy,40.6
2011/10/28,25.96,46.12,0.58,12.54,Clay,25.42
2011/10/29,16.26,49.96,12.87,19.29,Sandy,32.26
2011/10/30,22.74,85.81,4.99,18.58,Sandy,36.82
2011/10/31,23.81,48.93,12.56,14.02,Loam,28.46
2011/11/1,30.69,41.68,10.86,3.29,Loam,42.91
2011/11/2,25.61,75.95,15,19.6,Sandy,44.51
2011/11/3,15.12,74.98,16.47,13.4,Loam,41.86
2011/11/4,19.8,34.09,5.46,11.52,Sandy,32.93
2011/11/5,17.4,83.18,0.48,11.44,Loam,44.11
2011/11/6,27.98,45.06,15.65,13.85,Loam,44.88
2011/11/7,33.21,64.25,4.71,12.75,Loam,34.15
2011/11/8,31.87,34,18.05,11.68,Loam,37.24
2011/11/9,27.82,60.7,0.83,14.1,Loam,32.23
2011/11/10,31.61,37.18,1.74,4.67,Loam,30.07
2011/11/11,19.51,69.35,6.34,17.67,Sandy,40.99
2011/11/12,25.65,72.44,14.93,10.19,Clay,35.65
2011/11/13,19.35,53.55,11.96,9.14,Sandy,29.41
2011/11/14,28.6,41.51,9.74,4.19,Sandy,34.27
2011/11/15,20.42,67.59,0.78,3.77,Loam,39.12
2011/11/16,26.02,42.09,15.29,6.5,Sandy,41.14
2011/11/17,26.22,73.89,3.39,7.62,Loam,37.63
2011/11/18,34.09,66.19,14.76,9.64,Loam,27.91
2011/11/19,30,65.1,3.4,10,Sandy,30.7
2011/11/20,33.67,69.81,18.9,10.15,Loam,26.8
2011/11/21,30.37,48.66,5.85,5.37,Loam,42.32
2011/11/22,32.85,60.98,17.02,7.8,Sandy,33.95
2011/11/23,29.74,35.74,18.86,8.35,Sandy,35.87
2011/11/24,34.48,84.25,6.25,15.15,Clay,40.58
2011/11/25,18.33,85.55,3.22,4.15,Sandy,33.1
2011/11/26,27.09,87.94,2.89,13.58,Loam,43.21
2011/11/27,32.93,68.83,7.69,8.64,Clay,34.68
2011/11/28,26.66,61.3,12.5,15.21,Clay,42.42
2011/11/29,17.93,61.04,3.54,19.62,Loam,42.76
2011/11/30,15.74,80.44,9.34,15.14,Clay,40.49
2011/12/1,23.81,86.44,13.66,9.85,Sandy,37.78
2011/12/2,19.44,72.84,6.34,14.74,Clay,33.2
2011/12/3,26.39,34.56,15.98,18.16,Sandy,38.68
2011/12/4,34.08,53.86,11.45,10.24,Loam,37.81
2011/12/5,21.16,87.29,0.66,10.48,Sandy,33.45
2011/12/6,15.07,78.41,9.63,12.89,Clay,35.54
2011/12/7,30.77,45.6,2.02,17.35,Clay,44.35
2011/12/8,16.67,69.87,19.52,17.01,Loam,43.23
2011/12/9,27.75,62.95,18.91,7.97,Sandy,32.55
2011/12/10,20.72,59.14,3.7,16.47,Clay,41.5
2011/12/11,25.3,85.09,4.43,19.29,Loam,35.33
2011/12/12,22.69,67.03,0.72,17.63,Clay,42.3
2011/12/13,26.37,72.29,0.59,15.41,Sandy,40.33
2011/12/14,30.54,36.53,4.37,10.9,Loam,40.63
2011/12/15,26.96,54.81,6.63,11.61,Sandy,25.25
2011/12/16,31.86,73.62,0.45,16.96,Loam,33.91
2011/12/17,16.52,83.63,18.63,12.19,Sandy,31.63
2011/12/18,32.25,50.83,5.25,19.22,Clay,27.02
2011/12/19,24,46.37,10.26,7.56,Loam,43.15
2011/12/20,19.66,33.62,8.76,9,Clay,43.25
2011/12/21,27.28,70.53,5.69,10.36,Sandy,29.44
2011/12/22,29.85,72.22,10.47,10.39,Clay,31.14
2011/12/23,25.49,31.35,6.14,4.88,Sandy,30.46
2011/12/24,22.86,49.21,7.28,19.21,Clay,31.53
2011/12/25,20.58,73.29,0.67,13.49,Sandy,35.71
2011/12/26,31.24,57.03,13.02,13.2,Clay,28.67
2011/12/27,22.78,71.44,1.42,7.89,Loam,42.44
2011/12/28,27.76,38.65,6.28,5.41,Clay,33.29
2011/12/29,32.35,44.29,14.18,16.51,Sandy,38.83
2011/12/30,22.92,36.95,2.08,8.62,Clay,44.96
2011/12/31,25.55,69.45,0.9,4.3,Sandy,40.05
2012/1/1,27.03,41.97,15.88,3.08,Loam,39.03
2012/1/2,20.75,36.24,11.07,8.86,Clay,28.38
2012/1/3,26.16,83.98,14.55,13.48,Sandy,34.6
2012/1/4,26.06,63.98,19.11,15.53,Loam,37.68
2012/1/5,26.27,61.63,3.48,19.22,Clay,43.67
2012/1/6,26.5,61.59,11.29,15.68,Sandy,36.47
2012/1/7,30,88.96,16.19,18.01,Loam,39.6
2012/1/8,26.06,72.27,4.95,17.36,Loam,32.06
2012/1/9,19.29,89.14,0.72,3.71,Sandy,35.4
2012/1/10,25.76,63.3,17.35,17.87,Sandy,44.54
2012/1/11,24.8,67.08,12.16,11.99,Clay,26.62
2012/1/12,17.31,64.58,19.25,6.31,Loam,32.28
2012/1/13,25.17,77.8,11.01,17.55,Loam,40.75
2012/1/14,17.58,38.5,13.23,9.25,Loam,33.97
2012/1/15,17.3,49.02,1.13,10.96,Clay,31.22
2012/1/16,23.77,72.58,0.87,18.17,Sandy,31.72
2012/1/17,23.98,63.61,13.04,6.26,Sandy,26.17
2012/1/18,28.25,65.85,11.9,17.34,Loam,36.49
2012/1/19,20.31,61.56,11.11,10.5,Loam,37.11
2012/1/20,15.13,86.6,5.07,12.81,Sandy,36.53
2012/1/21,15.12,41.43,4.81,12.79,Sandy,27.85
2012/1/22,20.38,70.24,10.16,7.21,Sandy,37.59
2012/1/23,33.17,58.45,2.12,12.94,Clay,35.62
2012/1/24,16.83,74.39,2.22,15,Loam,37.56
2012/1/25,18.77,55.86,4.53,5.2,Sandy,25.87
2012/1/26,19.7,34.59,5.22,6.08,Clay,31.12
2012/1/27,25.11,71.25,18.19,3.88,Loam,41.54
2012/1/28,34.26,87.04,12.42,7.43,Sandy,29.57
2012/1/29,21.66,67.43,17.94,17.11,Loam,37.14
2012/1/30,34.78,85.69,13.12,11.38,Clay,39.59
2012/1/31,18.95,65.42,2.46,18.63,Sandy,36.99
2012/2/1,17.95,79.8,3.82,3.57,Sandy,32.03
2012/2/2,29.68,70.72,6.22,14.82,Loam,43.04
2012/2/3,21.04,42.83,9.82,5.55,Clay,37.35
2012/2/4,33.61,52.15,18.6,9.91,Clay,34.22
2012/2/5,28.31,46.78,12.97,8.82,Sandy,35.25
2012/2/6,26.92,54.34,13.58,14.13,Loam,41.57
2012/2/7,15.66,71.78,13.12,11.66,Loam,25.74
2012/2/8,23.79,74.96,9.42,10.71,Clay,36.24
2012/2/9,24.57,36.5,2.65,17.28,Sandy,34.44
2012/2/10,28.21,84.26,12.25,7.66,Sandy,34.74
2012/2/11,21.03,82.39,17.04,16.81,Sandy,39.1
2012/2/12,16.21,52.78,13.09,13.48,Loam,25.89
2012/2/13,22.46,85.32,17.62,19.72,Clay,30.15
2012/2/14,24.66,64.99,19.89,6.33,Clay,30.61
2012/2/15,15.72,78.59,1.99,17.65,Clay,33.99
2012/2/16,33.13,51.99,14.37,12.1,Loam,25.64
2012/2/17,16.34,89.82,4.24,3.6,Loam,28.43
2012/2/18,22.94,85.05,16.27,13.21,Clay,30.16
2012/2/19,18.78,41.15,6.12,12.18,Clay,43.03
2012/2/20,19.31,74.85,11.73,15.06,Clay,38.07
2012/2/21,17.83,72.13,12.42,11.12,Sandy,37.29
2012/2/22,18.44,65.38,4.31,12.4,Clay,44.14
2012/2/23,30.1,71.03,2.11,12.17,Loam,40.79
2012/2/24,20.63,41.71,10.82,14.72,Clay,39.07
2012/2/25,28.46,32.82,2.02,19.44,Sandy,36.52
2012/2/26,19.73,87.28,6.34,16.7,Loam,29.42
2012/2/27,16.5,65.78,7.28,4.82,Sandy,40.2
2012/2/28,22.26,31.86,10.52,4.39,Sandy,34.26
2012/2/29,30.25,76.93,6.93,7.79,Loam,42.78
2012/3/1,32.15,74.12,18.74,7.43,Loam,25.86
2012/3/2,16.23,45.47,6.77,4.54,Clay,44.47
2012/3/3,15.22,79.38,8.34,18.51,Loam,33.52
2012/3/4,16.12,66.37,17.53,9.38,Sandy,36.53
2012/3/5,27.66,85.39,4.81,17.05,Clay,29.34
2012/3/6,21.96,53.27,17.26,11.12,Sandy,40.49
2012/3/7,16.51,59.03,8.54,8.13,Loam,29.71
2012/3/8,26.46,38.25,3.85,3.04,Clay,42.49
2012/3/9,22.36,78.47,18.05,3.85,Clay,36.36
2012/3/10,25.24,42.37,15.84,16.04,Clay,43.62
2012/3/11,29.46,71.87,6.74,17.27,Sandy,40.97
2012/3/12,16.63,66.91,10.19,11.53,Loam,25.19
2012/3/13,17.76,53.11,9.22,18.83,Loam,26.7
2012/3/14,34.57,83.96,18.04,4.62,Loam,31.09
2012/3/15,34.55,71.39,9.7,3.85,Clay,28.67
2012/3/16,22.92,34.18,15.59,16.1,Sandy,35.59
2012/3/17,27.64,72.22,3.64,15.69,Loam,32.91
2012/3/18,28.73,43.92,9.78,15.56,Sandy,34.69
2012/3/19,26.73,37.03,5.84,8.53,Loam,26.16
2012/3/20,31.31,46.38,19.63,11.7,Clay,38.1
2012/3/21,33.84,45.88,12.47,8.86,Clay,43.33
2012/3/22,19.08,82.2,10.61,11.08,Clay,28.94
2012/3/23,27.78,35.32,13.99,16.1,Sandy,30.43
2012/3/24,21.56,32.92,14.93,17.17,Loam,25.9
2012/3/25,23.27,43.34,6.56,4.62,Clay,38.29
2012/3/26,33.67,85.14,1.31,5.85,Clay,42.79
2012/3/27,31.08,62.69,19.92,13.1,Clay,38.11
2012/3/28,30.49,66.35,5.65,12.83,Clay,34.11
2012/3/29,16.3,66.6,8.6,15.67,Sandy,32.52
2012/3/30,22.28,65.46,12.13,15.82,Clay,41.8
2012/3/31,34.1,58.81,14.68,19.25,Loam,42.87
2012/4/1,32.82,66.37,10.53,6.68,Loam,31.75
2012/4/2,25.73,50.34,13.9,14.64,Loam,43.57
2012/4/3,30.2,65.2,1.9,15.54,Sandy,33.55
2012/4/4,29.24,60.43,6.39,3.39,Sandy,31.41
2012/4/5,27.89,64.8,14.93,16.97,Loam,42.22
2012/4/6,34.03,62.41,3.63,14.63,Clay,31.58
2012/4/7,33.95,63.33,7.06,11.91,Clay,40.32
2012/4/8,22.6,70.2,10.3,12.91,Sandy,26.42
2012/4/9,28.34,30.43,2.45,17.07,Clay,41.76
2012/4/10,31.49,82.9,5.82,8.3,Loam,30.87
2012/4/11,30.55,63.92,9.5,5.69,Clay,44.04
2012/4/12,25.52,70.05,7.58,3.16,Sandy,25.3
2012/4/13,24.48,47.86,5.83,11.54,Loam,43.97
2012/4/14,34.8,86.53,18.04,18.82,Loam,40.45
2012/4/15,17.16,35.75,15.14,18.16,Clay,27.79
2012/4/16,27.37,30.99,17.44,5.38,Sandy,44.04
2012/4/17,21.16,86.85,13.94,15.23,Loam,41.66
2012/4/18,21.34,47.01,9.49,14.97,Clay,38.65
2012/4/19,17.42,57.05,0.9,4.81,Sandy,37.34
2012/4/20,28.79,70.54,5.73,14.06,Clay,38.31
2012/4/21,28.49,70.14,14.23,17.53,Loam,44.86
2012/4/22,17.61,51.97,7.96,4.12,Clay,40.86
2012/4/23,31.28,44.09,4.2,15.47,Loam,33.65
2012/4/24,29.29,34.57,5.95,4.66,Clay,43.18
2012/4/25,15.63,82.02,9.8,13.49,Clay,26.59
2012/4/26,27.44,31.68,12.71,14.16,Sandy,34.63
2012/4/27,26.6,60.48,7.35,5.7,Clay,43.81
2012/4/28,18.42,53.08,4.85,13.51,Loam,36.79
2012/4/29,32.55,72.01,9.54,15.21,Clay,33.92
2012/4/30,23.12,51.78,10.21,6.08,Clay,38.67
2012/5/1,17.19,83.4,2.03,9.26,Sandy,27.4
2012/5/2,23.31,83.73,4.93,14.19,Loam,34.11
2012/5/3,27.11,40.44,0.48,16.76,Clay,44.25
2012/5/4,27.26,37.59,17.87,16.15,Clay,31.36
2012/5/5,29.51,64.52,7.54,4.94,Loam,28.64
2012/5/6,23.48,57.04,17.21,8.92,Loam,30.61
2012/5/7,17.66,48.43,6.82,14.87,Loam,39.05
2012/5/8,19.56,32.16,1.29,15.24,Sandy,28.79
2012/5/9,18.89,65.4,18.22,4.05,Loam,26.07
2012/5/10,22.2,81.95,5.24,13.34,Loam,31.79
2012/5/11,27.19,34.37,1.55,10.56,Clay,40.23
2012/5/12,20.18,80.62,4.86,11.46,Loam,39.43
2012/5/13,28.71,80.02,15.02,17.2,Loam,34.41
2012/5/14,17.24,87.65,13.56,12.49,Clay,26.87
2012/5/15,19.54,35.15,2.57,5.97,Sandy,40.47
2012/5/16,20.09,77.53,4.44,4.05,Clay,32.78
2012/5/17,17.33,62.68,3.84,10.3,Loam,44.22
2012/5/18,25.42,82.89,2.56,10.78,Clay,29.31
2012/5/19,32.38,49.71,4.88,5.16,Clay,36.81
2012/5/20,21.29,37.57,6.06,13.77,Sandy,41
2012/5/21,22.1,66.13,6.53,17,Loam,33.32
2012/5/22,22.36,64.18,9.93,12.35,Sandy,31.16
